_id,Rainfall_mm,Year,Month_String,Month
1,40.4258,1901,January,1
2,12.3022,1901,February,2
3,25.5119,1901,March,3
4,14.2942,1901,April,4
5,38.3046,1901,May,5
6,12.8813,1901,June,6
7,68.093,1901,July,7
8,16.5836,1901,August,8
9,13.3391,1901,September,9
10,3.10757,1901,October,10
11,0.21419,1901,November,11
12,3.27559,1901,December,12
13,2.31336,1902,January,1
14,3.17559,1902,February,2
15,13.3201,1902,March,3
16,16.6064,1902,April,4
17,17.0574,1902,May,5
18,19.3449,1902,June,6
19,25.7954,1902,July,7
20,34.1203,1902,August,8
21,17.5,1902,September,9
22,7.08495,1902,October,10
23,14.5744,1902,November,11
24,4.73243,1902,December,12
25,22.6658,1903,January,1
26,10.2447,1903,February,2
27,40.695,1903,March,3
28,12.3373,1903,April,4
29,35.182,1903,May,5
30,7.95537,1903,June,6
31,75.6535,1903,July,7
32,34.1329,1903,August,8
33,24.1921,1903,September,9
34,1.82323,1903,October,10
35,1.2238,1903,November,11
36,10.0793,1903,December,12
37,61.2916,1904,January,1
38,10.9565,1904,February,2
39,68.4706,1904,March,3
40,10.8674,1904,April,4
41,9.80757,1904,May,5
42,6.63728,1904,June,6
43,22.9002,1904,July,7
44,26.1663,1904,August,8
45,17.5644,1904,September,9
46,8.62059,1904,October,10
47,12.2084,1904,November,11
48,6.44073,1904,December,12
49,53.5866,1905,January,1
50,37.0232,1905,February,2
51,41.1089,1905,March,3
52,14.3762,1905,April,4
53,12.9388,1905,May,5
54,7.47864,1905,June,6
55,17.6693,1905,July,7
56,8.42186,1905,August,8
57,36.4692,1905,September,9
58,2.22197,1905,October,10
59,0.23152,1905,November,11
60,27.6909,1905,December,12
61,7.44133,1906,January,1
62,78.1301,1906,February,2
63,37.7996,1906,March,3
64,11.4353,1906,April,4
65,19.8325,1906,May,5
66,12.6819,1906,June,6
67,25.2715,1906,July,7
68,44.5472,1906,August,8
69,28.7101,1906,September,9
70,2.93003,1906,October,10
71,0.2753,1906,November,11
72,11.1771,1906,December,12
73,18.81,1907,January,1
74,38.2396,1907,February,2
75,29.2855,1907,March,3
76,36.3981,1907,April,4
77,4.75605,1907,May,5
78,33.4921,1907,June,6
79,33.0677,1907,July,7
80,54.822,1907,August,8
81,2.99025,1907,September,9
82,2.88652,1907,October,10
83,0.88287,1907,November,11
84,2.76253,1907,December,12
85,40.6442,1908,January,1
86,17.759,1908,February,2
87,13.8815,1908,March,3
88,60.2271,1908,April,4
89,15.155,1908,May,5
90,10.8517,1908,June,6
91,100.309,1908,July,7
92,90.0436,1908,August,8
93,27.5185,1908,September,9
94,2.64982,1908,October,10
95,0.30752,1908,November,11
96,19.4151,1908,December,12
97,22.0417,1909,January,1
98,34.5044,1909,February,2
99,17.239,1909,March,3
100,49.3441,1909,April,4
101,5.69387,1909,May,5
102,25.5863,1909,June,6
103,110.821,1909,July,7
104,27.676,1909,August,8
105,35.4963,1909,September,9
106,3.77207,1909,October,10
107,2.09046,1909,November,11
108,39.1434,1909,December,12
109,48.6834,1910,January,1
110,10.0486,1910,February,2
111,12.8771,1910,March,3
112,28.8651,1910,April,4
113,8.65424,1910,May,5
114,33.9063,1910,June,6
115,73.1194,1910,July,7
116,83.1,1910,August,8
117,4.58992,1910,September,9
118,1.80884,1910,October,10
119,0.18159,1910,November,11
120,7.09619,1910,December,12
121,62.1624,1911,January,1
122,13.6268,1911,February,2
123,63.2829,1911,March,3
